City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,nuku'alofa,-21.1333,-175.2,77.34,88,20,14.97,TO,1698608508
307,tobarra,38.5921,-1.6919,57.78,48,100,3.76,ES,1698608508
308,afaahiti,-17.75,-149.2833,80.47,82,29,14.99,PF,1698608508
309,boyolangu,-8.1181,111.8935,74.28,93,80,2.17,ID,1698608509
310,tommot,58.9564,126.2925,13.23,98,100,1.61,RU,1698608509
311,ternate,0.8,127.4,80.06,76,100,3.85,ID,1698608510
312,umm kaddadah,13.6017,26.6876,86.29,14,5,9.89,SD,1698608510
313,calama,-22.4667,-68.9333,70.29,17,0,23.02,CL,1698608510
314,jalai nur,49.45,117.7,21.92,33,0,7.2,CN,1698608511
315,la passe,45.5549,-0.8967,56.98,90,100,11.39,FR,1698608511
316,haiku-pauwela,20.9219,-156.3051,81.05,61,20,6.91,US,1698608511
317,mil'kovo,55.6078,37.7956,33.35,91,100,7.14,RU,1698608512
318,hammerfest,70.6634,23.6821,25.25,80,40,3.44,NO,1698608512
319,daru,-9.0763,143.2092,77.41,88,100,17.29,PG,1698608512
320,newman,37.3138,-121.0208,66.24,24,0,7.0,US,1698608513
321,fisterra,42.9049,-9.2629,53.74,71,100,21.7,ES,1698608513
322,puerto armuelles,8.2833,-82.8667,85.98,75,53,10.0,PA,1698608325
323,labuan,5.2767,115.2417,80.96,88,40,3.44,MY,1698608514
324,nouadhibou,20.931,-17.0347,71.82,86,0,19.51,MR,1698608514
325,cheremukhovo,60.3484,59.9851,23.97,68,100,8.99,RU,1698608514
326,alofi,-19.0595,-169.9187,78.69,78,100,16.11,NU,1698608515
327,port macquarie,-31.4333,152.9167,51.89,87,14,8.52,AU,1698608326
328,sisimiut,66.9395,-53.6735,25.32,72,100,9.51,GL,1698608515
329,bafia,4.75,11.2333,71.74,93,100,2.77,CM,1698608516
330,coari,-4.085,-63.1414,101.82,23,9,3.06,BR,1698608516
331,al qusayr,34.5091,36.5798,75.38,39,100,4.63,SY,1698608516
332,goshen,41.5823,-85.8344,46.98,86,100,4.61,US,1698608322
333,bel ombre,-4.6167,55.4167,82.24,83,40,5.75,SC,1698608517
334,baganga,7.5739,126.56,76.64,84,19,4.34,PH,1698608517
335,wynyard,-41.0,145.7167,51.98,86,100,12.93,AU,1698608518
336,tolanaro,-25.0319,46.9987,77.07,69,0,13.8,MG,1698608518
337,viqueque,-8.8673,126.3658,74.44,90,27,2.44,TL,1698608519
338,ribeira brava,32.65,-17.0667,72.23,82,91,5.03,PT,1698608519
339,khandyga,62.6667,135.6,19.49,98,100,2.04,RU,1698608520
340,tucupita,9.0622,-62.051,92.17,50,91,4.7,VE,1698608520
341,howrah,22.5892,88.3103,75.2,83,20,4.61,IN,1698608521
342,papao,-17.75,-149.55,82.08,81,2,17.25,PF,1698608521
343,taoudenni,22.6783,-3.9836,92.7,10,0,6.58,ML,1698608521
344,noosa heads,-26.3833,153.15,59.11,76,8,4.12,AU,1698608282
345,pamandzi,-12.7967,45.2794,80.38,83,0,5.75,YT,1698608522
346,abepura,-2.6333,140.5833,77.81,89,40,5.75,ID,1698608523
347,massakory,12.996,15.7293,90.5,15,4,12.12,TD,1698608523
348,puerto aysen,-45.4,-72.7,41.72,90,99,4.07,CL,1698608523
349,sinabang,2.4803,96.3801,77.85,84,100,3.49,ID,1698608523
